,report,meta_info,href,category,sending_time
0,Is this flytipping?,"Fixed 09:18, 20 Feb 2007, last updated 21:10, 21 May 2007",https://www.fixmystreet.com/report/199,"Reported by Tony Blow at 09:18, Tue 20 February 2007","Sent to Glasgow City Council 6 days, 15 hours, 12 minutes later"
1,Graffiti and Vandalism,"12:42, 20 Feb 2007",https://www.fixmystreet.com/report/213,"Reported anonymously at 12:42, Tue 20 February 2007","Sent to Glasgow City Council 6 days, 11 hours, 48 minutes later"
2,Dead mattress and other rubbish dumped,"14:38, 20 Feb 2007",https://www.fixmystreet.com/report/219,"Reported by Gordon Barnes at 14:38, Tue 20 February 2007","Sent to Glasgow City Council 6 days, 9 hours, 52 minutes later"
3,Pothole,"14:47, 23 Feb 2007",https://www.fixmystreet.com/report/253,"Reported by Mrs McAllister at 14:47, Fri 23 February 2007","Sent to Glasgow City Council 3 days, 9 hours, 43 minutes later"
4,Pothole,"22:48, 24 Feb 2007",https://www.fixmystreet.com/report/260,"Reported by Ms McAllister at 22:48, Sat 24 February 2007","Sent to Glasgow City Council 2 days, 1 hour, 41 minutes later"
5,Tree cuttings needing removed,"16:28, 27 Feb 2007",https://www.fixmystreet.com/report/292,"Reported by Katie Glen at 16:28, Tue 27 February 2007","Sent to Glasgow City Council 1 hour, 2 minutes later"
6,Broken streetlight,"16:40, 27 Feb 2007, last updated 12:22, 8 Mar 2007",https://www.fixmystreet.com/report/293,"Reported anonymously at 16:40, Tue 27 February 2007",Sent to Glasgow City Council 49 minutes later
7,Public safety hazard,"22:12, 4 Mar 2007",https://www.fixmystreet.com/report/329,"Reported by Stuart Crawford at 22:12, Sun  4 March 2007","Sent to Glasgow City Council 5 days, 1 hour, 53 minutes later"
8,Graffiti,"11:42, 8 Mar 2007",https://www.fixmystreet.com/report/525,"Reported anonymously at 11:42, Thu  8 March 2007","Sent to Glasgow City Council 1 day, 12 hours, 23 minutes later"
9,R Carmichael,"12:33, 8 Mar 2007",https://www.fixmystreet.com/report/595,"Reported by R Carmichael at 12:33, Thu  8 March 2007

;(there is no pin shown as the user did not use the map)","Sent to Glasgow City Council 1 day, 11 hours, 32 minutes later"
10,Dog fouling on Lyndhurst Gardens,"13:03, 8 Mar 2007",https://www.fixmystreet.com/report/653,"Reported anonymously at 13:03, Thu  8 March 2007","Sent to Glasgow City Council 1 day, 11 hours, 2 minutes later"
