category,latitude,longitude,Zone,name,,
Potholes,55.84409,-4.34629,S01009815,Cardonald West and Central - 01,,
Potholes,55.87056,-4.32029,S01010391,Glasgow Harbour and Partick South - 04,,
Potholes,55.87254,-4.28755,S01010379,Kelvingrove and University - 06,,
Potholes,55.82028,-4.36781,S01009797,Pollok South and West - 06,,
Potholes,55.85509,-4.34113,S01009836,Drumoyne and Shieldhall - 04,,
Potholes,55.8784,-4.27865,S01010371,North Kelvin - 03,,
Potholes,55.89794,-4.34173,S01010470,Anniesland West - 01,,
Potholes,55.87398,-4.27819,S01010292,Woodlands - 04,,
Potholes,55.8624,-4.27903,S01010283,Finnieston and Kelvinhaugh - 02,,
Potholes,55.81246,-4.24519,S01009993,Kingspark South - 01,,
Potholes,55.84313,-4.34723,S01009815,Cardonald West and Central - 01,,
Potholes,55.86245,-4.2497,S01010260,City Centre East - 02,,
Potholes,55.84136,-4.17765,S01010065,Braidfauld - 05,,
Potholes,55.88737,-4.35386,S01010451,Knightswood East - 02,,
Potholes,55.80989,-4.27044,S01009962,Muirend and Old Cathcart - 04,,
Potholes,55.86383,-4.21865,S01010234,Dennistoun North - 01,,
Potholes,55.89823,-4.20056,S01010197,Balornock - 04,,
Potholes,55.82864,-4.29589,S01009935,Pollokshaws - 03,,
Potholes,55.8777,-4.32254,S01010418,Broomhill - 04,,
Potholes,55.89483,-4.32231,S01010473,Anniesland West - 04,,
Potholes,55.84459,-4.14621,S01010074,Carmyle and Mount Vernon South - 01,,
Potholes,55.87098,-4.2136,S01010229,"Roystonhill, Blochairn, and Provanmill - 02",,
Potholes,55.81181,-4.34109,S01009782,Nitshill - 08,,
Potholes,55.85356,-4.15464,S01010131,Greenfield - 01,,
Potholes,55.87991,-4.23374,S01010223,Cowlairs and Port Dundas - 05,,
Potholes,55.85017,-4.10973,S01010090,Baillieston East - 03,,
Potholes,55.8829,-4.36362,S01010432,Scotstoun South and West - 01,,
Potholes,55.85356,-4.2747,S01010031,Laurieston and Tradeston - 01,,
Potholes,55.88862,-4.28748,S01010359,Wyndford - 02,,
Potholes,55.80935,-4.34087,S01009765,Darnley North - 02,,
Potholes,55.89118,-4.30826,S01010364,Kelvindale - 02,,
Potholes,55.91916,-4.3648,S01010497,Drumry East - 02,,
Potholes,55.81037,-4.27053,S01009962,Muirend and Old Cathcart - 04,,
Potholes,55.8118,-4.34098,S01009782,Nitshill - 08,,
Potholes,55.85475,-4.3004,S01009862,Ibrox East and Cessnock - 01,,
Potholes,55.88042,-4.26086,S01010309,Keppochhill - 01,,
Potholes,55.83968,-4.21035,S01010048,Dalmarnock - 03,,
Potholes,55.82238,-4.37915,S01009793,Pollok South and West - 02,,
Potholes,55.86418,-4.28537,S01010285,Finnieston and Kelvinhaugh - 04,,
Potholes,55.91146,-4.35185,S01010491,Drumchapel North - 01,,
Potholes,55.86975,-4.20952,S01010229,"Roystonhill, Blochairn, and Provanmill - 02",,
Potholes,55.86673,-4.25646,S01010275,City Centre South - 04,,
Potholes,55.84863,-4.32363,S01009851,Craigton - 04,,
Potholes,55.8712,-4.30584,S01010396,Partick - 04,,
Pavements/footpaths,55.86379,-4.13493,S01010120,North Barlanark and Easterhouse South - 03,,
Pavements/footpaths,55.89359,-4.27086,S01010333,Milton West - 04,,
Pavements/footpaths,55.86074,-4.26024,S01010275,City Centre South - 04,,
Pavements/footpaths,55.90241,-4.36801,S01010486,Blairdardie West - 02,,
Pavements/footpaths,55.8577,-4.13054,S01010123,Barlanark - 01,,
Pavements/footpaths,55.8369,-4.15427,S01010074,Carmyle and Mount Vernon South - 01,,
